seed,family,m,N,tail_lexpr,tail_lexpr1,tail_asf1,tail_asfk,tail_mmrk,tail_raw,agree_lexpr_asfk,agree_lexpr_mmrk,tied_lexpr,tied_lexpr1,flip_lexpr_0.05,flip_lexpr_0.10,flip_lexpr_0.20,flip_lexpr1_0.05,flip_lexpr1_0.10,flip_lexpr1_0.20,flip_asf1_0.05,flip_asf1_0.10,flip_asf1_0.20,flip_asfk_0.05,flip_asfk_0.10,flip_asfk_0.20,flip_mmrk_0.05,flip_mmrk_0.10,flip_mmrk_0.20,flip_raw_0.05,flip_raw_0.10,flip_raw_0.20,classflip_lexpr_0.05,classflip_lexpr_0.10,classflip_lexpr_0.20,classflip_lexpr1_0.05,classflip_lexpr1_0.10,classflip_lexpr1_0.20
20260704,Knapsack,4,286,0.848642197174547,0.7699648154030732,0.7699648154030732,0.848642197174547,0.848642197174547,0.7699648154030732,1,1,0,0,0.0,0.21666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.5,0.0,0.21666666666666667,0.5,0.7166666666666667,0.85,0.95,0.0,0.21666666666666667,0.5,0.0,0.0,0.0
20260704,Knapsack,4,203,0.810943777437426,0.8068035628558038,0.8068035628558038,0.810943777437426,0.810943777437426,0.8068035628558038,1,1,0,0,0.2833333333333333,0.5333333333333333,0.48333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.5333333333333333,0.48333333333333334,0.2833333333333333,0.5333333333333333,0.48333333333333334,0.7833333333333333,0.9333333333333333,0.9833333333333333,0.2833333333333333,0.5333333333333333,0.48333333333333334,0.0,0.0,0.0
20260704,Knapsack,5,255,0.8169627443601836,0.7583535896594308,0.7583535896594308,0.8169627443601836,0.8169627443601836,0.7583535896594308,1,1,0,0,0.0,0.15,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.45,0.0,0.15,0.45,0.5,0.7666666666666667,0.95,0.0,0.15,0.45,0.0,0.0,0.0
20260704,Knapsack,3,176,0.9259708885129387,0.8206961912991451,0.8206961912991451,0.9259708885129387,0.9259708885129387,0.8206961912991451,1,1,0,0,0.23333333333333334,0.5166666666666667,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.5166666666666667,0.5666666666666667,0.23333333333333334,0.5166666666666667,0.5666666666666667,0.65,0.8333333333333334,0.9333333333333333,0.23333333333333334,0.5166666666666667,0.5666666666666667,0.0,0.0,0.0
20260704,Knapsack,4,120,0.782554087709299,0.7913248018762566,0.7913248018762566,0.782554087709299,0.782554087709299,0.7913248018762566,1,1,0,0,0.0,0.016666666666666666,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.3,0.0,0.016666666666666666,0.3,0.1,0.55,0.8833333333333333,0.0,0.016666666666666666,0.3,0.0,0.0,0.0
20260704,Knapsack,5,272,0.8408194416548304,0.766206576708423,0.7581886377395378,0.8408194416548304,0.8408194416548304,0.7581886377395378,1,1,0,0,0.11666666666666667,0.36666666666666664,0.8833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.36666666666666664,0.8833333333333333,0.11666666666666667,0.36666666666666664,0.8833333333333333,0.5,0.8166666666666667,0.9833333333333333,0.11666666666666667,0.36666666666666664,0.8833333333333333,0.0,0.0,0.0
20260704,Knapsack,5,244,0.7893460960455349,0.7573229398683112,0.7573229398683112,0.8003049590791627,0.8003049590791627,0.7573229398683112,0,0,0,0,0.26666666666666666,0.43333333333333335,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.21666666666666667,0.0,0.0,0.08333333333333333,0.5666666666666667,0.7333333333333333,1.0,0.26666666666666666,0.43333333333333335,0.5,0.0,0.0,0.0
20260704,Knapsack,3,293,0.8944291261200435,0.8548134599927705,0.8548134599927705,0.8944291261200435,0.8944291261200435,0.8548134599927705,1,1,0,1,0.6666666666666666,0.85,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.7166666666666667,0.8333333333333334,0.5833333333333334,0.7166666666666667,0.8333333333333334,0.7666666666666667,0.9666666666666667,0.95,0.6666666666666666,0.85,0.9,0.0,0.0,0.0
20260704,Knapsack,4,256,0.8559626672116621,0.763445654672042,0.763445654672042,0.8559626672116621,0.8559626672116621,0.763445654672042,1,1,0,0,0.26666666666666666,0.3,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.3,0.55,0.26666666666666666,0.3,0.55,0.23333333333333334,0.7166666666666667,0.8833333333333333,0.26666666666666666,0.3,0.55,0.0,0.0,0.0
20260704,Knapsack,4,292,0.871062167072342,0.7746344200410886,0.7746344200410886,0.871062167072342,0.871062167072342,0.7746344200410886,1,1,0,0,0.5,0.6,0.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.6166666666666667,0.5,0.6,0.6166666666666667,0.18333333333333332,0.7666666666666667,0.95,0.5,0.6,0.6166666666666667,0.0,0.0,0.0
20260704,Knapsack,5,246,0.7744201497104126,0.752907118706347,0.752907118706347,0.7744201497104126,0.7744201497104126,0.752907118706347,1,1,0,0,0.0,0.1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.35,0.0,0.1,0.35,0.4,0.6,0.8166666666666667,0.0,0.1,0.3333333333333333,0.0,0.0,0.0
20260704,Knapsack,5,207,0.7819200375619161,0.7592255131528074,0.750913922111321,0.7819200375619161,0.7819200375619161,0.750913922111321,1,1,0,0,0.0,0.03333333333333333,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.36666666666666664,0.0,0.03333333333333333,0.36666666666666664,0.8166666666666667,0.75,0.9833333333333333,0.0,0.03333333333333333,0.36666666666666664,0.0,0.0,0.0
20260704,Knapsack,3,189,0.8704990277580202,0.8470927977672577,0.8470927977672577,0.8704990277580202,0.8704990277580202,0.8470927977672577,1,1,0,0,0.36666666666666664,0.5,0.38333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.5,0.38333333333333336,0.36666666666666664,0.5,0.38333333333333336,0.7,0.85,0.9333333333333333,0.36666666666666664,0.5,0.38333333333333336,0.0,0.0,0.0
20260704,Knapsack,4,267,0.9259391300895417,0.7776025277125469,0.7776025277125469,0.9259391300895417,0.9259391300895417,0.7776025277125469,1,1,0,0,0.03333333333333333,0.21666666666666667,0.48333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.21666666666666667,0.48333333333333334,0.03333333333333333,0.21666666666666667,0.48333333333333334,0.5833333333333334,0.7166666666666667,0.95,0.03333333333333333,0.21666666666666667,0.48333333333333334,0.0,0.0,0.0
