config,geometry,replication,method,grouped_loss,tail_loss
"R2 (4 groups, m=10)",linear,13,ASF,0.4366882548391878,0.5128447255042009
"R2 (4 groups, m=10)",linear,14,ASF,0.4345092996938503,0.5160126383875452
"R2 (4 groups, m=10)",linear,15,ASF,0.446832507277461,0.4111814065614759
"R2 (4 groups, m=10)",linear,16,ASF,0.4354504003932335,0.4369663117704163
"R2 (4 groups, m=10)",linear,17,ASF,0.4527028688430714,0.39219521812337665
"R2 (4 groups, m=10)",linear,18,ASF,0.46290686801441105,0.4519759634513212
"R2 (4 groups, m=10)",linear,19,ASF,0.44105959435067205,0.4676066051111993
"R2 (4 groups, m=10)",linear,20,ASF,0.4376447796979025,0.27758699792400204
"R2 (4 groups, m=10)",linear,21,ASF,0.4389633483170037,0.5406094354722506
"R2 (4 groups, m=10)",linear,22,ASF,0.4165222458098606,0.24777082270363412
"R2 (4 groups, m=10)",linear,23,ASF,0.44816204663400006,0.38069655194684976
"R2 (4 groups, m=10)",linear,24,ASF,0.43547141965721514,0.4677944816228249
"R2 (4 groups, m=10)",linear,25,ASF,0.4345043647577002,0.4034269331003322
"R2 (4 groups, m=10)",linear,26,ASF,0.45494904205640124,0.45426475872997246
"R2 (4 groups, m=10)",linear,27,ASF,0.46320210976015724,0.4508863055818142
"R2 (4 groups, m=10)",linear,28,ASF,0.4517447199260128,0.3716838030310179
"R2 (4 groups, m=10)",linear,29,ASF,0.4304938143809875,0.4762002374321574
"R2 (4 groups, m=10)",linear,0,SMAA,0.42698512119817905,0.3258258676458704
"R2 (4 groups, m=10)",linear,1,SMAA,0.4293008846176343,0.24403908050440723
"R2 (4 groups, m=10)",linear,2,SMAA,0.47053141211948096,0.3257439839609707
"R2 (4 groups, m=10)",linear,3,SMAA,0.41469035736889365,0.2969822741200212
"R2 (4 groups, m=10)",linear,4,SMAA,0.39619677288563554,0.5025949770573163
"R2 (4 groups, m=10)",linear,5,SMAA,0.439754423359736,0.5011658215589084
"R2 (4 groups, m=10)",linear,6,SMAA,0.4259608104360206,0.43706150385488635
"R2 (4 groups, m=10)",linear,7,SMAA,0.40672595563301767,0.2719067805877172
"R2 (4 groups, m=10)",linear,8,SMAA,0.4023423165351993,0.32513254995488
"R2 (4 groups, m=10)",linear,9,SMAA,0.4682610415946716,0.3628114492829502
