instance,family,m,data_split,mode,refused,tied_nominal,rival,decisive_coordinate,winner_enclosure_width,rival_enclosure_width,certified_at_root,max_D_width,mean_D_width
narrow-10-1,narrow,10,stress,independent,False,False,8,C_M,5.0,4.0,False,1.0,0.11042831915286454
narrow-10-1,narrow,10,stress,joint,False,False,8,C_M,5.0,4.0,False,0.828615952355453,0.08391041807958731
narrow-10-2,narrow,10,stress,independent,False,False,8,C_M,7.0,3.0,False,1.0,0.11391798766889026
narrow-10-2,narrow,10,stress,joint,False,False,8,C_M,7.0,3.0,False,0.9820111050103013,0.08772207139934934
narrow-10-3,narrow,10,stress,independent,False,False,9,C_M,4.0,2.0,False,1.0,0.12342619395524981
narrow-10-3,narrow,10,stress,joint,False,False,9,C_M,0.0,0.0,True,0.8806014013042743,0.09381441036405214
narrow-10-4,narrow,10,stress,independent,False,False,4,C_M,2.0,1.0,False,1.0,0.15882827366683436
narrow-10-4,narrow,10,stress,joint,False,False,4,C_M,0.0,1.0,True,1.0,0.14009831359207103
narrow-10-5,narrow,10,stress,independent,False,False,7,C_M,5.0,2.0,False,1.0,0.12826402495733433
narrow-10-5,narrow,10,stress,joint,False,False,7,C_M,5.0,2.0,False,1.0,0.11019557130115133
narrow-10-6,narrow,10,stress,independent,True,,,,,,,,
narrow-10-6,narrow,10,stress,joint,True,,,,,,,,
narrow-10-7,narrow,10,stress,independent,False,False,5,C_M,7.0,6.0,False,0.8481669982070408,0.09147550150400272
narrow-10-7,narrow,10,stress,joint,False,False,5,C_M,3.0,6.0,False,0.6184042903391394,0.06677170970250221
heavytail-3-0,heavytail,3,stress,independent,False,False,9,C_M,4.0,1.0,False,0.6669417115498458,0.17692054645682617
heavytail-3-0,heavytail,3,stress,joint,False,False,9,C_M,0.0,0.0,True,0.4086447270076876,0.1195745171299108
heavytail-3-1,heavytail,3,stress,independent,False,False,1,C_M,19.0,9.0,False,0.6802603127672141,0.1491890716306853
