instance,family,data_split,arm,budget,certified_volume,certified,seconds
spherical-3-2,spherical,development,A0_global_independent,1024,0.0,False,0.8738529999973252
spherical-3-2,spherical,development,A3_decision_joint_relevant,64,0.0625,False,0.040619042003527284
spherical-3-2,spherical,development,A3_decision_joint_relevant,256,0.2265625,False,0.149952125037089
spherical-3-2,spherical,development,A3_decision_joint_relevant,1024,0.662109375,False,0.5793011250207201
spherical-3-3,spherical,calibration,A0_global_independent,64,1.2434497875801753e-14,False,0.03463787492364645
spherical-3-3,spherical,calibration,A0_global_independent,256,1.1368683772161603e-13,False,0.251782082952559
spherical-3-3,spherical,calibration,A0_global_independent,1024,5.151434834260726e-13,False,1.1135054170154035
spherical-3-3,spherical,calibration,A3_decision_joint_relevant,64,1.30385160446167e-08,False,0.03365274996031076
spherical-3-3,spherical,calibration,A3_decision_joint_relevant,256,1.1920928955078125e-07,False,0.12353583390358835
spherical-3-3,spherical,calibration,A3_decision_joint_relevant,1024,2.926681190729141e-07,False,0.47920895798597485
spherical-3-4,spherical,test,A0_global_independent,64,0.0,False,0.028333958005532622
spherical-3-4,spherical,test,A0_global_independent,256,0.0,False,0.19538795808330178
spherical-3-4,spherical,test,A0_global_independent,1024,1.734723475976807e-17,False,0.8802536251023412
spherical-3-4,spherical,test,A3_decision_joint_relevant,64,1.0,True,0.0009252920281141996
spherical-3-4,spherical,test,A3_decision_joint_relevant,256,1.0,True,0.0008743749931454659
spherical-3-4,spherical,test,A3_decision_joint_relevant,1024,1.0,True,0.0008538749534636736
spherical-3-5,spherical,test,A0_global_independent,64,3.552713678800501e-15,False,0.039347290992736816
spherical-3-5,spherical,test,A0_global_independent,256,4.8405723873656825e-14,False,0.2580197909846902
spherical-3-5,spherical,test,A0_global_independent,1024,2.255973186038318e-13,False,1.1127159170573577
spherical-3-5,spherical,test,A3_decision_joint_relevant,64,0.40625,False,0.030135500011965632
spherical-3-5,spherical,test,A3_decision_joint_relevant,256,1.0,True,0.06625820905901492
spherical-3-5,spherical,test,A3_decision_joint_relevant,1024,1.0,True,0.06574087508488446
spherical-3-6,spherical,test,A0_global_independent,64,8.881784197001252e-15,False,0.03175399999599904
spherical-3-6,spherical,test,A0_global_independent,256,1.1368683772161603e-13,False,0.21803224994800985
spherical-3-6,spherical,test,A0_global_independent,1024,5.080380560684716e-13,False,0.9559471670072526
spherical-3-6,spherical,test,A3_decision_joint_relevant,64,4.842877388000488e-08,False,0.03368308302015066
spherical-3-6,spherical,test,A3_decision_joint_relevant,256,3.2782554626464844e-07,False,0.12144345894921571
spherical-3-6,spherical,test,A3_decision_joint_relevant,1024,1.1771917343139648e-06,False,0.4743743749568239
spherical-3-7,spherical,test,A0_global_independent,64,0.0,False,0.020776207908056676
spherical-3-7,spherical,test,A0_global_independent,256,0.0,False,0.08352237509097904
spherical-3-7,spherical,test,A0_global_independent,1024,0.0,False,0.3332425409462303
spherical-3-7,spherical,test,A3_decision_joint_relevant,64,1.0,True,0.0010455419542267919
spherical-3-7,spherical,test,A3_decision_joint_relevant,256,1.0,True,0.0009119589813053608
spherical-3-7,spherical,test,A3_decision_joint_relevant,1024,1.0,True,0.0008724170038476586
spherical-6-0,spherical,development,A0_global_independent,64,0.0,False,0.02789145801216364
spherical-6-0,spherical,development,A0_global_independent,256,0.0,False,0.11004737496841699
spherical-6-0,spherical,development,A0_global_independent,1024,0.0,False,0.4408142500324175
spherical-6-0,spherical,development,A3_decision_joint_relevant,64,1.0,True,0.001150249969214201
spherical-6-0,spherical,development,A3_decision_joint_relevant,256,1.0,True,0.0011003329418599606
spherical-6-0,spherical,development,A3_decision_joint_relevant,1024,1.0,True,0.0011972499778494239
spherical-6-1,spherical,development,A0_global_independent,64,0.0,False,0.027490042033605278
spherical-6-1,spherical,development,A0_global_independent,256,0.0,False,0.10878429200965911
spherical-6-1,spherical,development,A0_global_independent,1024,0.0,False,0.44112983299419284
spherical-6-1,spherical,development,A3_decision_joint_relevant,64,1.0,True,0.001187209039926529
spherical-6-1,spherical,development,A3_decision_joint_relevant,256,1.0,True,0.001173499971628189
spherical-6-1,spherical,development,A3_decision_joint_relevant,1024,1.0,True,0.001262917066924274
spherical-6-2,spherical,development,A0_global_independent,64,0.0,False,0.028204709058627486
spherical-6-2,spherical,development,A0_global_independent,256,0.0,False,0.12195091706234962
