family,m,N,K,rho_max,margin,flip_rate,class_size
WFG2,5,138,7,-0.015525136685359573,0.07413539888842152,0.0,1
WFG2,15,114,17,0.24744050947702748,0.0037330393319950916,0.0,1
WFG2,8,75,10,0.17219360097676586,0.003529491429616338,0.0,1
WFG2,14,384,16,0.06080563417801184,0.0047271934571027074,0.0,1
WFG2,14,489,16,0.05957347303418187,0.03346617627335918,0.0,1
WFG2,6,470,8,0.02243008366387051,0.011080135721424689,0.1,3
WFG2,6,127,8,-0.00785232068545738,0.011673873184320949,0.0,1
WFG2,9,488,11,0.04119398480285358,0.02735009003321126,0.0,1
WFG2,4,108,6,0.0014200544894419967,0.04129323671395585,0.0,1
WFG2,11,431,13,0.10505706657404723,0.015048031771704051,0.075,2
WFG2,8,183,10,0.09411662159451006,0.015855992028387222,0.0,1
WFG2,11,468,13,0.06578217780458626,0.03879385556563364,0.0,1
WFG2,12,79,14,0.18559633040245713,0.025897318915555023,0.0,1
WFG2,8,488,10,0.04724588711732161,0.006911477519177922,0.0,1
WFG2,8,132,10,0.12776648945344274,0.038969339954446125,0.0,1
WFG2,8,321,10,0.0373489950876183,0.0008130325400437788,0.75,2
WFG2,10,333,12,0.031379695158113244,0.004667999856655114,0.0,1
WFG2,12,215,14,0.07855142115692508,0.011994182122339714,0.0,1
WFG2,8,295,10,0.10924716747595259,0.0076939071417601035,0.6,3
WFG2,12,94,14,0.14998850111039408,0.001042499842294431,0.0,1
WFG2,5,353,7,-0.033626827587541534,0.03538531268809464,0.0,1
WFG2,13,102,15,0.1742615154085681,0.014722517594337625,0.0,1
WFG2,14,237,16,0.1216778066205619,0.0016012504409271822,0.0,1
WFG2,15,118,17,0.20252576870079975,0.015186722768960048,0.0,1
WFG2,4,141,6,0.059164316727931834,0.047175179725317234,0.0,1
WFG2,13,292,15,0.10224321034663147,0.036770372131001094,0.0,1
WFG2,9,136,11,0.15256110244605448,0.011342056846659898,0.0,1
WFG2,15,209,17,0.14498428335212288,0.01631136655483678,0.0,1
WFG2,9,203,11,0.13460537479109935,0.003262704560072105,0.0,1
WFG2,7,83,9,0.08052594987350324,0.028285796340936864,0.0,1
WFG2,4,111,6,-0.06379229236412048,0.01970274953596146,0.0,1
WFG2,7,356,9,0.02366680741408845,0.024182191132475217,0.0,1
WFG2,4,89,6,-0.09246429948198692,0.07697214408028291,0.0,1
WFG2,7,459,9,0.07798132427350313,0.0110766640513279,0.0,1
WFG2,11,153,13,0.1508416292406522,0.0038469112684910156,0.0,1
WFG2,11,432,13,0.06512968323231753,0.016434141618360987,0.0,1
WFG2,12,488,14,0.02336038903731691,0.005363767230218031,0.0,1
WFG2,12,161,14,0.15591870934059077,0.040143700487803025,0.0,1
WFG2,4,253,6,-0.14713319539945371,0.014493426455994413,0.0,1
WFG2,5,406,7,-0.029018783163259124,0.009437307153013219,0.075,2
WFG2,14,189,16,0.16024805839685327,0.009506013430888416,0.0,1
WFG2,10,400,12,0.0782959922957842,0.0714307885031103,0.0,1
WFG2,15,396,17,0.06035188476229114,0.0342752377865676,0.0,1
WFG2,3,93,5,-0.03144656523993838,0.03309017012033147,0.0,1
WFG2,11,118,13,0.09767734470654618,0.03952766071797231,0.0,1
WFG2,12,226,14,0.13630433638456613,0.0014902678973405248,0.45,2
WFG2,14,289,16,0.12698584176345445,0.032096448846945735,0.0,1
WFG2,10,277,12,0.11493251878261064,0.009547008551762215,0.05,2
WFG2,12,445,14,0.0826809160844988,0.0059065731313053815,0.5,2
WFG2,3,143,5,-0.253422245345971,0.07348809507929328,0.0,1
WFG2,12,83,14,0.1050230790483619,0.07418004392566291,0.0,1
WFG2,14,102,16,0.2222438050686816,0.011753121275416833,0.125,3
WFG2,3,50,5,-0.18577176713573068,0.02251033539135122,0.0,1
WFG2,10,160,12,0.1853920752908286,0.026307395764171293,0.0,1
WFG2,13,483,15,0.04872847539684304,0.00529984160468322,0.0,1
WFG2,3,113,5,-0.18312771210840242,0.08583146182910488,0.0,1
WFG2,14,264,16,0.085834992941662,0.0039202147035002355,0.225,2
WFG2,6,412,8,0.005381335725530301,0.01911274182899242,0.0,1
WFG2,9,121,11,0.10291852126774688,0.012536819876068583,0.0,1
WFG2,4,128,6,0.15976733127814285,0.04217235611399284,0.0,1
WFG2,9,441,11,0.0641262398744383,0.002645352980686133,0.175,2
WFG2,12,453,14,0.06951156895191461,0.010220112543702975,0.0,1
WFG2,9,222,11,0.06748031896600809,0.0037272777136548862,0.0,1
WFG2,4,202,6,-0.13581014636591715,0.022134777354014562,0.0,1
WFG2,10,229,12,0.055751312037483236,0.02991605335353892,0.0,1
DTLZ,13,315,15,0.06242020545347218,0.001471142598738484,0.35,5
DTLZ,12,403,14,0.021400468664609727,0.011275275287467745,0.7,11
DTLZ,15,95,17,0.1529838891583571,0.0041255490828487895,0.6,7
DTLZ,5,236,7,-0.08175395951491302,0.01355193015075995,0.475,5
DTLZ,9,181,11,0.03310571910156201,0.014498356567367865,0.75,4
DTLZ,9,495,11,-0.055595547620164755,0.005564982405589114,0.3,4
DTLZ,15,209,17,0.12809382025721808,0.012478890980232693,0.4,5
DTLZ,4,187,6,-0.2042618704060843,0.007612129409486523,0.7,6
DTLZ,8,275,10,-0.050462729196538186,0.021363803784685165,0.4,7
DTLZ,15,173,17,0.11218413871708156,0.005155701720472972,0.45,4
DTLZ,10,282,12,0.0590046859608246,0.005681277157978615,0.75,6
